GID ZTRUE LOGMASS LOGMASS_ERR g_obs r_obs i_obs z_obs g_abs r_abs i_abs z_abs
020090 0.4094 11.3200 0.3065 19.832 19.078 18.597 18.352 -21.912 -22.666 -23.147 -23.392
040540 0.6088 11.7860 0.0755 21.660 20.541 19.737 19.387 -21.117 -22.236 -23.040 -23.390
150513 0.2672 8.8930 0.2575 22.607 22.528 22.285 22.125 -18.060 -18.139 -18.382 -18.542
160068 0.3966 11.4520 0.0085 20.566 19.546 18.959 18.639 -21.097 -22.117 -22.704 -23.024
180538 0.6406 11.0160 0.3505 22.545 21.476 20.973 20.626 -20.367 -21.436 -21.939 -22.286
380451 0.3154 11.6200 0.0890 19.356 18.502 18.055 17.701 -21.725 -22.579 -23.026 -23.380
510245 0.5428 11.4750 0.2395 22.032 20.828 20.128 19.888 -20.444 -21.648 -22.348 -22.588
360154 0.4256 11.2220 0.0630 21.543 20.443 19.804 19.527 -20.301 -21.401 -22.040 -22.317
160070 0.3589 11.1190 0.0075 20.757 19.821 19.400 19.069 -20.651 -21.587 -22.008 -22.339
440115 0.2463 11.3320 0.0875 19.546 18.477 18.074 17.890 -20.919 -21.988 -22.391 -22.575
580300 0.2402 9.4770 0.4420 22.195 21.675 21.337 21.457 -18.209 -18.729 -19.067 -18.947
060015 0.3847 11.1080 0.1400 19.932 18.938 18.607 18.309 -21.653 -22.647 -22.978 -23.276
170324 0.3078 9.6330 0.4395 22.599 22.034 21.839 21.628 -18.421 -18.986 -19.181 -19.392
390574 0.3636 11.0120 0.0600 21.579 20.422 19.886 19.640 -19.862 -21.019 -21.555 -21.801
510251 0.2403 11.6540 0.1935 18.662 17.866 17.401 17.126 -21.743 -22.539 -23.004 -23.279
580311 0.2541 11.0770 0.1760 20.480 19.204 18.913 18.611 -20.062 -21.338 -21.629 -21.931
070612 0.5536 11.6260 0.2620 21.558 20.455 19.876 19.500 -20.969 -22.072 -22.651 -23.027
120369 0.7418 10.5630 0.2175 21.198 20.436 20.096 19.875 -22.103 -22.865 -23.205 -23.426
360162 0.4841 10.1850 0.4090 23.248 22.827 22.272 21.969 -18.929 -19.350 -19.905 -20.208
350480 0.3108 10.4030 0.3570 22.026 21.147 20.798 20.552 -19.018 -19.897 -20.246 -20.492
530201 0.3366 8.6120 0.3955 24.515 24.116 24.101 23.476 -16.730 -17.129 -17.144 -17.769
160082 0.1911 9.7040 0.2300 21.007 20.652 20.327 20.212 -18.839 -19.194 -19.519 -19.634
180561 0.2300 8.4440 0.4205 23.252 23.131 23.304 23.029 -17.045 -17.166 -16.993 -17.268
310087 0.1911 10.6090 0.4470 21.102 20.216 19.813 19.589 -18.744 -19.630 -20.033 -20.257
380046 0.0985 9.9720 0.0835 19.779 19.115 18.640 18.547 -18.501 -19.165 -19.640 -19.733
540029 0.4997 11.7380 0.0975 21.134 19.773 19.172 18.826 -21.126 -22.487 -23.088 -23.434
040573 0.3613 10.4650 0.1785 21.462 20.857 20.503 20.224 -19.963 -20.568 -20.922 -21.201
131031 0.2961 9.4060 0.2200 21.769 21.228 21.224 21.149 -19.154 -19.695 -19.699 -19.774
190001 0.4354 11.6420 0.4980 21.677 20.218 19.699 19.394 -20.226 -21.685 -22.204 -22.509
500275 0.3931 11.3230 0.1530 21.144 19.816 19.351 19.037 -20.496 -21.824 -22.289 -22.603
520120 0.5797 9.2580 0.2465 23.308 22.600 22.725 22.843 -19.340 -20.048 -19.923 -19.805
540033 0.3124 10.7070 0.1440 20.520 19.764 19.389 19.041 -20.537 -21.293 -21.668 -22.016
580319 0.3069 11.0910 0.0345 20.250 19.355 18.933 18.729 -20.762 -21.657 -22.079 -22.283
091437 0.4660 9.6010 0.1565 21.941 21.745 21.503 21.569 -20.137 -20.333 -20.575 -20.509
131033 0.3028 10.2510 0.3255 20.443 19.968 19.751 19.565 -20.536 -21.011 -21.228 -21.414
170349 0.4084 11.1780 0.1650 20.873 19.814 19.423 19.109 -20.865 -21.924 -22.315 -22.629
350513 0.1764 10.9820 0.1235 19.855 18.939 18.483 18.245 -19.798 -20.714 -21.170 -21.408
380479 0.5774 11.7620 0.0415 21.571 20.374 19.630 19.206 -21.067 -22.264 -23.008 -23.432
510266 0.4367 11.8060 0.2430 20.324 18.795 18.390 18.096 -21.586 -23.115 -23.520 -23.814
091538 0.6373 9.1310 0.5620 23.670 23.432 22.897 23.574 -19.228 -19.466 -20.001 -19.324
130373 0.3738 11.3450 0.0695 20.950 19.669 19.148 18.887 -20.561 -21.842 -22.363 -22.624
200170 0.4503 11.1700 0.2830 20.976 19.987 19.564 19.269 -21.013 -22.002 -22.425 -22.720
360193 0.3731 11.2020 0.0755 21.714 20.025 19.447 19.244 -19.793 -21.482 -22.060 -22.263
480788 0.1998 10.9740 0.2775 18.742 18.349 17.991 17.907 -21.212 -21.605 -21.963 -22.047
490488 0.4216 10.0440 0.1275 20.873 20.413 20.287 20.175 -20.947 -21.407 -21.533 -21.645
060141 0.1903 10.7810 0.0800 20.183 19.205 18.839 18.587 -19.653 -20.631 -20.997 -21.249
091719 0.4586 10.8000 0.3445 21.989 21.012 20.478 20.374 -20.048 -21.025 -21.559 -21.663
150019 0.3358 9.3840 0.4310 22.451 22.445 22.094 21.893 -18.788 -18.794 -19.145 -19.346
190049 0.2600 11.2890 0.0165 20.003 18.813 18.359 18.087 -20.596 -21.786 -22.240 -22.512
480791 0.4897 10.6590 0.2925 22.201 21.030 20.764 20.452 -20.006 -21.177 -21.443 -21.755
060157 0.3309 11.0360 0.2675 19.971 19.235 18.902 18.694 -21.231 -21.967 -22.300 -22.508
080546 0.6137 9.8490 0.3705 22.443 21.993 21.721 21.573 -20.356 -20.806 -21.078 -21.226
310095 0.4534 11.1570 0.0100 22.404 21.152 20.529 20.145 -19.603 -20.855 -21.478 -21.862
