# CID HOST_LOGMASS HOST_LOGMASS_ERR
PSc020090 11.3200 0.3065
PSc040540 11.7860 0.0755
PSc150513 8.8930 0.2575
PSc160068 11.4520 0.0085
PSc180538 11.0160 0.3505
PSc360148 10.9420 0.0530
PSc380451 11.6200 0.0890
PSc510245 11.4750 0.2395
PSc130997 11.2490 0.0185
PSc360154 11.2220 0.0630
PSc380034 11.1860 0.1020
PSc380454 11.4640 0.0090
PSc550060 10.9190 0.0050
PSc120336 9.7570 0.3775
PSc160070 11.1190 0.0075
PSc310063 10.1440 0.1430
PSc440115 11.3320 0.0875
PSc450054 10.9960 0.2825
PSc490434 11.8170 0.0820
PSc580300 9.4770 0.4420
PSc060015 11.1080 0.1400
PSc080438 10.6680 0.2000
PSc170303 11.0520 0.0100
PSc180549 10.9630 0.3625
PSc320441 10.5220 0.1320
PSc370266 10.6380 0.6680
PSc480236 11.8040 0.3495
PSc170324 9.6330 0.4395
PSc390574 11.0120 0.0600
PSc500256 9.8400 0.2665
PSc510251 11.6540 0.1935
PSc580311 11.0770 0.1760
PSc020104 10.9050 0.2565
PSc070612 11.6260 0.2620
PSc120369 10.5630 0.2175
PSc360162 10.1850 0.4090
PSc490442 11.0510 0.2105
PSc530198 10.0240 0.5840
PSc070614 10.2850 0.3155
PSc200157 10.4140 0.7890
PSc350480 10.4030 0.3570
PSc450075 10.0890 0.2140
PSc530201 8.6120 0.3955
PSc550067 9.2300 0.2655
PSc160082 9.7040 0.2300
PSc180561 8.4440 0.4205
PSc310087 10.6090 0.4470
PSc370285 11.7520 0.0310
PSc380046 9.9720 0.0835
PSc500274 9.4810 0.3370
PSc540029 11.7380 0.0975
PSc570056 10.8190 0.1900
PSc000552 11.3950 0.2565
PSc040573 10.4650 0.1785
PSc131031 9.4060 0.2200
PSc190001 11.6420 0.4980
PSc450080 9.8920 0.2180
PSc500275 11.3230 0.1530
PSc520120 9.2580 0.2465
PSc540033 10.7070 0.1440
PSc580319 11.0910 0.0345
PSc020123 10.5320 0.3815
PSc091437 9.6010 0.1565
PSc131033 10.2510 0.3255
PSc170349 11.1780 0.1650
PSc200168 11.9370 0.0315
PSc310090 11.6390 0.0420
PSc350513 10.9820 0.1235
PSc380479 11.7620 0.0415
PSc510266 11.8060 0.2430
PSc540040 11.0930 0.0240
PSc000010 10.7860 0.1405
PSc020132 10.6290 0.1080
PSc091538 9.1310 0.5620
PSc130373 11.3450 0.0695
PSc200170 11.1700 0.2830
PSc310091 9.0660 1.0325
PSc360193 11.2020 0.0755
PSc440162 11.6110 0.0180
PSc450087 9.5980 0.1885
PSc480788 10.9740 0.2775
PSc490488 10.0440 0.1275
PSc020148 11.3060 0.0645
PSc060141 10.7810 0.0800
PSc091719 10.8000 0.3445
PSc110031 9.7990 0.2735
PSc150019 9.3840 0.4310
PSc190049 11.2890 0.0165
PSc350525 9.1420 0.3800
PSc480791 10.6590 0.2925
PSc570062 9.2190 0.1610
PSc060157 11.0360 0.2675
PSc080546 9.8490 0.3705
PSc310095 11.1570 0.0100
PSc320492 9.3940 0.5110
PSc480794 9.8390 0.2390
PSc540045 10.7430 0.5080
PSc550088 10.7990 0.0860
PSc040662 8.5030 0.0530
PSc060169 9.6920 0.2755
PSc070719 10.4950 0.3035
PSc080554 10.7380 0.3250
PSc130391 10.3150 0.2740
PSc131086 9.7540 0.4015
PSc390604 10.2250 0.1160
PSc480265 10.9200 0.0655
PSc520133 10.5410 0.1690
PSc530218 10.2550 0.3490
PSc540046 11.0700 0.0650
PSc000014 10.5340 0.0855
PSc040693 11.0750 0.1740
PSc120458 11.9310 0.0465
PSc170400 11.4520 0.2930
PSc190062 9.4110 0.5365
PSc210027 11.6260 0.0360
PSc380073 10.2310 0.1790
PSc390040 11.4370 0.0850
PSc570070 9.6750 0.3085
PSc010009 11.1800 0.0935
PSc150570 10.3600 0.1475
